child,parent
f1c20b8c6263d65bfe8a3ae6be2196cc116ea56b,8b3195f1ddef17adbe587b7e0cee1634d9db1352
93a0ea8e272c22ca37fd48cf3959b194f7d56e50,f1c20b8c6263d65bfe8a3ae6be2196cc116ea56b
a7a6f729702b8a1a4ed15adcb709863a3eb63db6,93a0ea8e272c22ca37fd48cf3959b194f7d56e50
fd52d46d1d2940e5dee33790e4a2873056f074f3,a7a6f729702b8a1a4ed15adcb709863a3eb63db6
3147e6456dab2be02bb05c6d9fe196ce9451cf1b,fd52d46d1d2940e5dee33790e4a2873056f074f3
e5254f64492c9bb1db78bd9363d4cdfeece299bc,3147e6456dab2be02bb05c6d9fe196ce9451cf1b
b96934a0b7700cf8bd7c2ae1a7f2cad7f29fdee6,e5254f64492c9bb1db78bd9363d4cdfeece299bc
35c2e3e14e76f1aaab00d1763690fa78742038e3,b96934a0b7700cf8bd7c2ae1a7f2cad7f29fdee6
85a8c04c1338b5bd442c241e1f00b6f4159edbec,35c2e3e14e76f1aaab00d1763690fa78742038e3
b0803c9c8b251b30e38fab3800df440fe5b72b69,85a8c04c1338b5bd442c241e1f00b6f4159edbec
bcfc3fc57c5809a7c9951bdd4e342df6c4bdf58f,b0803c9c8b251b30e38fab3800df440fe5b72b69
849fb189afc95f8927cf1a9c701902fa02b0619d,bcfc3fc57c5809a7c9951bdd4e342df6c4bdf58f
95a3830ebbcfa3f0addbc1eba8335a20cc2c41f2,849fb189afc95f8927cf1a9c701902fa02b0619d
3f3b219aa0447abd1abd93396545f59e2ac50771,95a3830ebbcfa3f0addbc1eba8335a20cc2c41f2
742c96769b9c55339dec3faf5306913946239cce,3f3b219aa0447abd1abd93396545f59e2ac50771
36207da02a3b3c9ede0a94e6d485d5f0fe3decaf,742c96769b9c55339dec3faf5306913946239cce
3e9530fadef33bdb24d0ffcef343f5cb9ea93925,36207da02a3b3c9ede0a94e6d485d5f0fe3decaf
a96fd2738832cd307590797f89cfd98d8736e339,3e9530fadef33bdb24d0ffcef343f5cb9ea93925
5a26d1a93eee1db01f38305eeeb2b01ec742d127,a96fd2738832cd307590797f89cfd98d8736e339
bdf2692b5bd125f61bb301d06fafd7fb9aba7eba,5a26d1a93eee1db01f38305eeeb2b01ec742d127
86e34d90401997c226f53306839ed627b10f1e68,bdf2692b5bd125f61bb301d06fafd7fb9aba7eba
cbcbb4241e3988706b23331087f5694e63a44191,86e34d90401997c226f53306839ed627b10f1e68
